Rank,Club,Country,Level,Elo,From,To,date,updated_at
78.0,Forest,ENG,1,1653.60449219,2024-03-13,2024-03-16,2024-03-14,2024-03-14 10:09:20
83.0,Reims,FRA,1,1641.54846191,2024-03-13,2024-03-17,2024-03-14,2024-03-14 10:09:20
84.0,Las Palmas,ESP,1,1639.79296875,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
89.0,Mallorca,ESP,1,1633.99902344,2024-03-14,2024-03-16,2024-03-14,2024-03-14 10:09:20
90.0,Celta,ESP,1,1631.66723633,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
91.0,Montpellier,FRA,1,1628.12927246,2024-03-13,2024-03-17,2024-03-14,2024-03-14 10:09:20
95.0,Toulouse,FRA,1,1624.55932617,2024-03-14,2024-03-15,2024-03-14,2024-03-14 10:09:20
96.0,Southampton,ENG,2,1623.37573242,2024-03-14,2024-03-15,2024-03-14,2024-03-14 10:09:20
98.0,Alaves,ESP,1,1620.55029297,2024-03-14,2024-03-16,2024-03-14,2024-03-14 10:09:20
100.0,Burnley,ENG,1,1616.99597168,2024-03-14,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Rayo Vallecano,ESP,1,1613.1295166,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Strasbourg,FRA,1,1600.26745605,2024-03-11,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Espanyol,ESP,2,1585.21826172,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Lorient,FRA,1,1580.32788086,2024-03-10,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Valladolid,ESP,2,1577.21582031,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Elche,ESP,2,1572.79296875,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Oviedo,ESP,2,1566.82006836,2024-03-14,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Ipswich,ENG,2,1564.38708496,2024-03-13,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Levante,ESP,2,1561.46459961,2024-03-14,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Le Havre,FRA,1,1560.48828125,2024-03-11,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Leganes,ESP,2,1551.72802734,2024-03-14,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Metz,FRA,1,1551.48583984,2024-03-11,2024-03-17,2024-03-14,2024-03-14 10:09:20
,Nantes,FRA,1,1549.88830566,2024-03-11,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Auxerre,FRA,2,1548.78833008,2024-03-10,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Saint-Etienne,FRA,2,1488.93640137,2024-03-10,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Sunderland,ENG,2,1476.2767334,2024-03-13,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Angers,FRA,2,1475.18811035,2024-03-10,2024-03-16,2024-03-14,2024-03-14 10:09:20
,Paris FC,FRA,2,1446.5411377,2024-03-10,2024-03-16,2024-03-14,2024-03-14 10:09:20
1.0,Man City,ENG,1,2052.29907227,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
3.0,Liverpool,ENG,1,1967.69360352,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
4.0,Real Madrid,ESP,1,1966.90649414,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
5.0,Arsenal,ENG,1,1956.6348877,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
8.0,Paris SG,FRA,1,1888.17443848,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
9.0,Barcelona,ESP,1,1871.13757324,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
12.0,Tottenham,ENG,1,1858.78955078,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
13.0,Atletico,ESP,1,1847.81591797,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
14.0,Aston Villa,ENG,1,1836.78686523,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
17.0,Man United,ENG,1,1814.65649414,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
22.0,Newcastle,ENG,1,1801.71228027,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
24.0,West Ham,ENG,1,1791.07165527,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
25.0,Chelsea,ENG,1,1789.40234375,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
28.0,Girona,ESP,1,1779.74658203,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
29.0,Brighton,ENG,1,1775.88256836,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
31.0,Bilbao,ESP,1,1772.26733398,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
32.0,Sociedad,ESP,1,1768.0526123,2024-03-15,2024-03-15,2024-03-15,2024-03-15 10:08:54
33.0,Lens,FRA,1,1763.43237305,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
34.0,Marseille,FRA,1,1759.40649414,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
37.0,Wolves,ENG,1,1748.51184082,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
40.0,Lille,FRA,1,1739.65539551,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
41.0,Fulham,ENG,1,1734.45336914,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
42.0,Brentford,ENG,1,1731.6159668,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
43.0,Monaco,FRA,1,1721.53063965,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
44.0,Rennes,FRA,1,1721.35620117,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
45.0,Villarreal,ESP,1,1715.81530762,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
46.0,Bournemouth,ENG,1,1709.94335938,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
48.0,Everton,ENG,1,1708.59301758,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
51.0,Betis,ESP,1,1704.70922852,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
54.0,Crystal Palace,ENG,1,1703.23583984,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
55.0,Valencia,ESP,1,1701.22875977,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
56.0,Brest,FRA,1,1700.13891602,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
58.0,Leicester,ENG,2,1695.43493652,2024-03-15,2024-03-15,2024-03-15,2024-03-15 10:08:54
61.0,Leeds,ENG,2,1690.16540527,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
62.0,Sevilla,ESP,1,1682.97680664,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
65.0,Nice,FRA,1,1678.67749023,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
66.0,Lyon,FRA,1,1667.64477539,2024-03-15,2024-03-15,2024-03-15,2024-03-15 10:08:54
70.0,Getafe,ESP,1,1663.50805664,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
72.0,Forest,ENG,1,1661.05285645,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
75.0,Osasuna,ESP,1,1657.3885498,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
83.0,Reims,FRA,1,1641.4152832,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
84.0,Las Palmas,ESP,1,1640.22058105,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
87.0,Mallorca,ESP,1,1634.42675781,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
89.0,Celta,ESP,1,1632.0949707,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
90.0,Southampton,ENG,2,1630.82397461,2024-03-15,2024-03-15,2024-03-15,2024-03-15 10:08:54
93.0,Montpellier,FRA,1,1627.99597168,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
94.0,Burnley,ENG,1,1624.44421387,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
95.0,Toulouse,FRA,1,1624.42602539,2024-03-15,2024-03-15,2024-03-15,2024-03-15 10:08:54
96.0,Alaves,ESP,1,1620.97802734,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
100.0,Rayo Vallecano,ESP,1,1613.55725098,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Strasbourg,FRA,1,1600.13415527,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Espanyol,ESP,2,1585.64599609,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Lorient,FRA,1,1580.19470215,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Valladolid,ESP,2,1577.64355469,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Elche,ESP,2,1573.22058105,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Ipswich,ENG,2,1571.83532715,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Oviedo,ESP,2,1567.24780273,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Levante,ESP,2,1561.89233398,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Le Havre,FRA,1,1560.35498047,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Leganes,ESP,2,1552.15576172,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Metz,FRA,1,1551.35253906,2024-03-15,2024-03-17,2024-03-15,2024-03-15 10:08:54
,Nantes,FRA,1,1549.75500488,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Auxerre,FRA,2,1548.6550293,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Saint-Etienne,FRA,2,1488.80310059,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Sunderland,ENG,2,1483.72509766,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Angers,FRA,2,1475.05493164,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
,Paris FC,FRA,2,1446.40783691,2024-03-15,2024-03-16,2024-03-15,2024-03-15 10:08:54
1.0,Man City,ENG,1,2052.29907227,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
3.0,Liverpool,ENG,1,1967.69360352,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
4.0,Real Madrid,ESP,1,1966.90649414,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
5.0,Arsenal,ENG,1,1956.6348877,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
8.0,Paris SG,FRA,1,1888.17443848,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
9.0,Barcelona,ESP,1,1871.13757324,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
12.0,Tottenham,ENG,1,1858.78955078,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
13.0,Atletico,ESP,1,1847.8157959,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
14.0,Aston Villa,ENG,1,1836.78686523,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
17.0,Man United,ENG,1,1814.65649414,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
22.0,Newcastle,ENG,1,1801.71228027,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
24.0,West Ham,ENG,1,1791.0715332,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
25.0,Chelsea,ENG,1,1789.40234375,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
29.0,Girona,ESP,1,1779.74658203,2024-03-16,2024-03-16,2024-03-16,2024-03-16 10:08:45
30.0,Brighton,ENG,1,1775.88256836,2024-03-16,2024-03-17,2024-03-16,2024-03-16 10:08:45
31.0,Bilbao,ESP,1,1772.26733398,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
32.0,Sociedad,ESP,1,1772.10131836,2024-03-16,2024-03-31,2024-03-16,2024-03-16 10:08:45
33.0,Lens,FRA,1,1763.43237305,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
34.0,Marseille,FRA,1,1759.40637207,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
37.0,Wolves,ENG,1,1748.51184082,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
40.0,Lille,FRA,1,1739.65539551,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
41.0,Fulham,ENG,1,1734.45324707,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
42.0,Brentford,ENG,1,1731.6159668,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
43.0,Monaco,FRA,1,1721.53051758,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
44.0,Rennes,FRA,1,1721.35620117,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
45.0,Villarreal,ESP,1,1715.81542969,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
46.0,Bournemouth,ENG,1,1709.94335938,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
48.0,Everton,ENG,1,1708.59301758,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
51.0,Betis,ESP,1,1704.70922852,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
54.0,Crystal Palace,ENG,1,1703.23583984,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
55.0,Valencia,ESP,1,1701.22875977,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
56.0,Brest,FRA,1,1700.13891602,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
58.0,Leicester,ENG,2,1695.43493652,2024-03-15,2024-04-11,2024-03-16,2024-03-16 10:08:45
61.0,Leeds,ENG,2,1690.16540527,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
62.0,Sevilla,ESP,1,1682.97680664,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
65.0,Nice,FRA,1,1678.67749023,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
66.0,Lyon,FRA,1,1675.4753418,2024-03-16,2024-03-30,2024-03-16,2024-03-16 10:08:45
70.0,Getafe,ESP,1,1663.50805664,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
72.0,Forest,ENG,1,1661.05285645,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
75.0,Osasuna,ESP,1,1657.3885498,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
83.0,Reims,FRA,1,1641.41516113,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
84.0,Las Palmas,ESP,1,1640.22058105,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
87.0,Mallorca,ESP,1,1634.42675781,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
89.0,Celta,ESP,1,1632.09484863,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
90.0,Southampton,ENG,2,1630.82397461,2024-03-15,2024-04-11,2024-03-16,2024-03-16 10:08:45
93.0,Montpellier,FRA,1,1627.99597168,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
94.0,Burnley,ENG,1,1624.44421387,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
95.0,Alaves,ESP,1,1620.97802734,2024-03-16,2024-03-16,2024-03-16,2024-03-16 10:08:45
96.0,Toulouse,FRA,1,1616.59545898,2024-03-16,2024-03-31,2024-03-16,2024-03-16 10:08:45
98.0,Rayo Vallecano,ESP,1,1613.55725098,2024-03-16,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Strasbourg,FRA,1,1600.13415527,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Espanyol,ESP,2,1585.64599609,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Lorient,FRA,1,1580.19458008,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Valladolid,ESP,2,1577.64343262,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Elche,ESP,2,1573.22058105,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Ipswich,ENG,2,1571.83532715,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Oviedo,ESP,2,1567.24780273,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Levante,ESP,2,1561.89233398,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Le Havre,FRA,1,1560.35498047,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Leganes,ESP,2,1552.15576172,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Metz,FRA,1,1551.35253906,2024-03-15,2024-03-17,2024-03-16,2024-03-16 10:08:45
,Nantes,FRA,1,1549.75500488,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Auxerre,FRA,2,1548.6550293,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Saint-Etienne,FRA,2,1488.80310059,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Sunderland,ENG,2,1483.72509766,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Angers,FRA,2,1475.05493164,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
,Paris FC,FRA,2,1446.40783691,2024-03-15,2024-03-16,2024-03-16,2024-03-16 10:08:45
1.0,Man City,ENG,1,2052.29907227,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
3.0,Liverpool,ENG,1,1967.69360352,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
4.0,Real Madrid,ESP,1,1966.90649414,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
5.0,Arsenal,ENG,1,1956.63500977,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
8.0,Paris SG,FRA,1,1888.17443848,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
9.0,Barcelona,ESP,1,1871.13757324,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
12.0,Tottenham,ENG,1,1858.78955078,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
13.0,Atletico,ESP,1,1847.81591797,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
14.0,Aston Villa,ENG,1,1836.78686523,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
17.0,Man United,ENG,1,1814.65649414,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
22.0,Newcastle,ENG,1,1801.71228027,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
24.0,West Ham,ENG,1,1791.07165527,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
25.0,Chelsea,ENG,1,1789.40246582,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
29.0,Girona,ESP,1,1779.74658203,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
30.0,Brighton,ENG,1,1775.88269043,2024-03-16,2024-03-17,2024-03-17,2024-03-17 10:13:22
31.0,Bilbao,ESP,1,1772.26733398,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
32.0,Sociedad,ESP,1,1772.10131836,2024-03-16,2024-03-31,2024-03-17,2024-03-17 10:13:22
33.0,Lens,FRA,1,1763.43237305,2024-03-17,2024-03-29,2024-03-17,2024-03-17 10:13:22
34.0,Marseille,FRA,1,1759.40637207,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
37.0,Wolves,ENG,1,1748.51184082,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
40.0,Lille,FRA,1,1739.65539551,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
41.0,Fulham,ENG,1,1734.45336914,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
42.0,Brentford,ENG,1,1731.61608887,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
43.0,Monaco,FRA,1,1721.53051758,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
44.0,Rennes,FRA,1,1721.35620117,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
45.0,Villarreal,ESP,1,1715.81542969,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
46.0,Bournemouth,ENG,1,1709.94335938,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
48.0,Everton,ENG,1,1708.59301758,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
51.0,Betis,ESP,1,1704.70922852,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
54.0,Crystal Palace,ENG,1,1703.23583984,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
55.0,Valencia,ESP,1,1701.22875977,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
56.0,Brest,FRA,1,1700.13891602,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
58.0,Leicester,ENG,2,1695.43493652,2024-03-15,2024-04-11,2024-03-17,2024-03-17 10:13:22
61.0,Leeds,ENG,2,1690.16540527,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
62.0,Sevilla,ESP,1,1682.97680664,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
65.0,Nice,FRA,1,1678.6776123,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
66.0,Lyon,FRA,1,1675.4753418,2024-03-16,2024-03-30,2024-03-17,2024-03-17 10:13:22
70.0,Getafe,ESP,1,1663.50805664,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
72.0,Forest,ENG,1,1661.05285645,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
75.0,Osasuna,ESP,1,1657.3885498,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
83.0,Reims,FRA,1,1641.4152832,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
84.0,Las Palmas,ESP,1,1640.22070312,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
87.0,Mallorca,ESP,1,1634.42675781,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
89.0,Celta,ESP,1,1632.09484863,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
90.0,Southampton,ENG,2,1630.82397461,2024-03-15,2024-04-11,2024-03-17,2024-03-17 10:13:22
93.0,Montpellier,FRA,1,1627.99597168,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
94.0,Burnley,ENG,1,1624.44433594,2024-03-17,2024-03-30,2024-03-17,2024-03-17 10:13:22
95.0,Alaves,ESP,1,1620.97802734,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
96.0,Toulouse,FRA,1,1616.59545898,2024-03-16,2024-03-31,2024-03-17,2024-03-17 10:13:22
98.0,Rayo Vallecano,ESP,1,1613.55725098,2024-03-16,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Strasbourg,FRA,1,1600.13415527,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
,Espanyol,ESP,2,1585.64599609,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Lorient,FRA,1,1580.19458008,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Valladolid,ESP,2,1577.64343262,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Elche,ESP,2,1573.22058105,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Ipswich,ENG,2,1571.83544922,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Oviedo,ESP,2,1567.24780273,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Levante,ESP,2,1561.89233398,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Le Havre,FRA,1,1560.35498047,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Leganes,ESP,2,1552.15576172,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Metz,FRA,1,1551.35253906,2024-03-15,2024-03-17,2024-03-17,2024-03-17 10:13:22
,Nantes,FRA,1,1549.75500488,2024-03-17,2024-03-31,2024-03-17,2024-03-17 10:13:22
,Auxerre,FRA,2,1548.6550293,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Saint-Etienne,FRA,2,1488.80310059,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Sunderland,ENG,2,1483.72509766,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Angers,FRA,2,1475.05493164,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
,Paris FC,FRA,2,1446.40783691,2024-03-17,2024-04-11,2024-03-17,2024-03-17 10:13:22
1.0,Man City,ENG,1,2052.29907227,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
2.0,Real Madrid,ESP,1,1971.24047852,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
4.0,Liverpool,ENG,1,1967.69360352,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
5.0,Arsenal,ENG,1,1956.6348877,2024-03-17,2024-03-31,2024-03-18,2024-03-18 10:15:35
8.0,Paris SG,FRA,1,1894.07617188,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
9.0,Barcelona,ESP,1,1887.68920898,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
12.0,Tottenham,ENG,1,1841.69372559,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
13.0,Aston Villa,ENG,1,1836.8079834,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
14.0,Atletico,ESP,1,1831.26428223,2024-03-18,2024-04-01,2024-03-18,2024-03-18 10:15:35
18.0,Man United,ENG,1,1814.65649414,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
23.0,Newcastle,ENG,1,1801.71228027,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
24.0,West Ham,ENG,1,1791.05041504,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
26.0,Chelsea,ENG,1,1789.40234375,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
29.0,Bilbao,ESP,1,1776.5904541,2024-03-17,2024-03-31,2024-03-18,2024-03-18 10:15:35
30.0,Brighton,ENG,1,1775.88256836,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
31.0,Sociedad,ESP,1,1772.10131836,2024-03-17,2024-03-31,2024-03-18,2024-03-18 10:15:35
32.0,Girona,ESP,1,1770.80249023,2024-03-17,2024-03-31,2024-03-18,2024-03-18 10:15:35
34.0,Fulham,ENG,1,1751.54907227,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
37.0,Wolves,ENG,1,1748.51184082,2024-03-18,2024-03-30,2024-03-18,2024-03-18 10:15:35
38.0,Marseille,FRA,1,1748.06018066,2024-03-18,2024-03-31,2024-03-18,2024-03-18 10:15:35
39.0,Lens,FRA,1,1747.44152832,2024-03-17,2024-03-29,2024-03-18,2024-03-18 10:15:35
41.0,Lille,FRA,1,1739.51940918,2024-03-18,2024-03-29,2024-03-18,2024-03-18 10:15:35
